DOB,Parents,Room,Breeding_Condition,Fridging
10/25/24,,,Natural,
11/25/24,,,Natural,
12/10/24,,,Natural,
1/3/25,,Behavior,Natural,
12/18/2023,WT Pink male x White female,Behavior Room,Natural,
05/20/2025,"G6s F1s - 307, 308, 309, 310, 311, 312",Behavior Room,Natural,0.0
02/02/2023,Yellow x Black,Main Room,Hormone Injection,
11/19/2025,"WT: SAL_436, SAL_437, SAL_438",Main Room,Natural,
11/19/2025,"G6s F1s: SAL_356, SAL_357, SAL_361",Main Room,Natural,
11/18/2025,"WT: SAL_204, SAL_205, SAL_206",Main Room,Natural,
11/18/2025,"WT Clutch 2: SAL_218, SAL_219, SAL_220, SAL_221",Main Room,Natural,
11/18/2025,"hsyn G6s: SAL_356, SAL_357, SAL_361",Main Room,Natural,
11/18/2025,"WT Clutch 3: SAL_047, SAL_048, SAL_049, SAL_050, SAL_051",Main Room,Natural,
08/14/2025,"303, 310, 311, 312 x 307, 308, 309",Behavior Room,Induced,
01/26/2026,"F0 G6s females 067, 069, 070 x F1 male 303 & F0 male 068",Behavior Room,Natural,
09/25/2025,F1 G6s Breeders,Behavior Room,Induced,
