Animal_ID,Tank,Rack,DOD,DOB,Purpose,Experimenter,Cohort,Environmental_Condition,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet,Weight_g,Sex,Complications
SAL_673,B1,Rack 5,5/8/25,12/10/24 0:00,,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_089,C4,Rack 2,4/30/25,2/23/22 0:00,Brain atlas,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_090,C4,Rack 2,4/30/25,2/23/22 0:00,Brain atlas,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_091,C4,Rack 2,4/30/25,2/23/22 0:00,Brain atlas,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_092,C4,Rack 2,4/30/25,2/23/22 0:00,Brain atlas,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_093,C4,Rack 2,4/30/25,2/23/22 0:00,Brain atlas,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_571,B3,Rack 7,4/24/25,9/1/22 0:00,,,,Aquatic,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,DOB 2021/07 - 2023/09,,,,,0.0,Unknown,Found Dead
SAL_439,A1,Rack 8,3/3/25,12/18/23 0:00,"84 dpi regeneration, NTS whole mount",AOG,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,,9.0,Unknown,
SAL_440,A1,Rack 8,3/3/25,12/18/23 0:00,"84 dpi regeneration, NTS whole mount",AOG,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,,6.2,Unknown,
SAL_441,A1,Rack 8,3/3/25,12/18/23 0:00,"84 dpi regeneration, NTS whole mount",AOG,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,,11.0,Unknown,
SAL_501,C3,Rack 9,5/1/25,5/17/24 0:00,Cannibal in tank - missing,,,Aquatic,,WT,Priority to use ,Pleurodeles waltl,AABF2564,Slow growers,,,,,0.0,Unknown,Found Dead
SAL_502,C3,Rack 9,4/26/25,5/17/24 0:00,Cannibal,,,Aquatic,,WT,Priority to use ,Pleurodeles waltl,AABF2564,Slow growers,,,,,0.0,Unknown,Found Dead
SAL_544,B4,Rack 1,3/3/25,9/1/23 0:00,Sickly - GG histology,JW,,Aquatic,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,,6.0,Unknown,
SAL_597,A3,Rack 7,4/6/25,8/8/24 0:00,,,,Aquatic,,WT,Priority to use,Pleurodeles waltl,AABI2617,Previously PTU controls,,,,,0.0,Unknown,Found Dead
SAL_611,B2,Rack 9,5/1/25,10/25/24 0:00,cannibal in tank,,Viral,Aquatic,,WT,NJC,Pleurodeles waltl,AABL1550,Viral PHPeB G6s NJC,,,,,0.0,Unknown,Found Dead
SAL_631,A4,Rack 9,4/24/25,10/25/24 0:00,Larval regeneration 84 dpi,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_632,A4,Rack 9,4/24/25,10/25/24 0:00,Larval regeneration 84 dpi,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_633,A4,Rack 9,4/24/25,10/25/24 0:00,Larval regeneration 84 dpi,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_634,A4,Rack 9,4/24/25,10/25/24 0:00,Larval regeneration 84 dpi,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_635,A4,Rack 9,4/24/25,10/25/24 0:00,Larval regeneration 84 dpi,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_636,A4,Rack 9,4/24/25,10/25/24 0:00,Larval regeneration 84 dpi,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_637,A4,Rack 9,4/24/25,10/25/24 0:00,Larval regeneration 84 dpi,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_644,C2,Rack 9,3/25/25,12/10/24 0:00,Foxp1 OE,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG Electroporation,,,,,0.0,Unknown,
SAL_645,C2,Rack 9,4/2/25,12/10/24 0:00,Foxp1 OE,AOG,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG Electroporation,,,,,0.0,Unknown,
SAL_658,A1,Rack 5,5/1/25,12/10/24 0:00,Cannibal in tank - missing,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_716,C2,Rack 5,5/1/25,12/10/24 0:00,Cannibal,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_717,C2,Rack 5,4/30/25,12/10/24 0:00,Cannibal,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_491,D1,Rack 4,5/3/25,5/17/24 0:00,Adult Neurogenesis with Edu,AOG, ,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,
SAL_182,A4,Rack 4,5/7/25,2/2/23 0:00,Adult 3dpi with edu,"AOG, MK",,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,13.6,Unknown,
